Product_ID,Nombre_Producto,Clase,Precio_Unitario,Fecha_Vencimiento
P0001,Ibuprofeno Cápsulas 20 mg/5 ml,Antidiabético,161.05,2026-01-09
P0002,Lorazepam Inyección 20 mg/5 ml,Antidiabético,113.52,2026-01-14
P0003,Ácido fólico Tabletas 20 mg/5 ml,Broncodilatador,176.37,2026-01-18
P0004,Amoxicilina Tabletas 5 mg,Antialérgico,138.12,2026-02-03
P0005,Captopril Cápsulas,Antihipertensivo,166.16,2026-01-30
P0006,Captopril Jarabe 500 mg,Ansiolítico,25.31,2026-02-20
P0007,Glimepirida Cápsulas 250 mg,Lipid-lowering,180.94,2026-02-23
P0008,Glimepirida Cápsulas 5 mg,Lipid-lowering,189.44,2026-02-25
P0009,Aspirina Cápsulas 5 mg,Antidepresivo,64.81,2026-02-19
P0010,Glimepirida Tabletas 20 mg/5 ml,Ansiolítico,19.58,2026-02-24
P0011,Atorvastatina Inyección 500 mg,Lipid-lowering,40.9,2026-02-27
P0012,Captopril Inyección,Antidiabético,126.24,2026-01-26
P0013,Tramadol Tabletas 20 mg/5 ml,Antidepresivo,78.34,2026-02-17
P0014,Prednisona Jarabe,Corticoide,33.1,2026-01-02
P0015,Tramadol Inyección 500 mg,Antiinflamatorio,8.28,2026-02-11
P0016,Glimepirida Inyección 250 mg,Antialérgico,191.14,2026-02-26
P0017,Gentamicina Tabletas 500 mg,Antiulceroso,92.87,2026-02-25
P0018,Ciprofloxacino Inyección 250 mg,Antiinflamatorio,128.68,2026-02-26
P0019,Salbutamol Cápsulas 5 mg,Antialérgico,105.95,2026-01-11
P0020,Clarithromicina Jarabe 20 mg/5 ml,Ansiolítico,5.57,2026-01-31
P0021,Metronidazol Jarabe 5 mg,Antialérgico,32.94,2026-01-09
P0022,Paracetamol Jarabe,Antibiótico,25.89,2026-02-12
P0023,Glimepirida Inyección 20 mg/5 ml,Broncodilatador,50.93,2026-01-06
P0024,Captopril Tabletas 250 mg,Antihipertensivo,157.53,2026-02-24
P0025,Atorvastatina Jarabe,Antiulceroso,199.01,2026-02-11
P0026,Clarithromicina Cápsulas 500 mg,Antidiabético,84.62,2026-01-15
P0027,Amoxicilina Cápsulas 250 mg,Antihipertensivo,34.29,2026-01-30
