Codigo_venta,Product_id,Empleado_id,Quantity,Dia,Month,Year,Sales,Igv,Total,Moneda,Estado,Tipo_comp
1,P0080,1,1,1,January,2025,70.8,12.74,83.54,PEN,Procedió,Nota de crédito
2,P0119,2,5,5,January,2025,627.55,112.96,740.51,PEN,Procedió,Factura
3,P0009,3,10,17,February,2024,648.1,116.66,764.76,PEN,Procedió,Nota de crédito
4,P0114,4,8,4,February,2025,143.28,25.79,169.07,PEN,Procedió,Nota de crédito
5,P0091,5,6,17,February,2025,137.4,24.73,162.13,PEN,Procedió,Nota de crédito
6,P0142,6,9,3,February,2024,1406.97,0.0,1406.97,PEN,Anulado,Boleta
7,P0062,7,7,24,February,2025,792.05,142.57,934.62,PEN,Procedió,Nota de crédito
8,P0150,8,9,10,March,2025,1039.41,187.09,1226.5,PEN,Procedió,Factura
9,P0074,9,6,30,March,2024,1147.74,206.59,1354.33,PEN,Procedió,Nota de crédito
10,P0137,10,1,10,March,2025,24.61,4.43,29.04,PEN,Procedió,Factura
11,P0055,11,5,30,March,2025,157.35,28.32,185.67,PEN,Procedió,Factura
12,P0027,12,7,22,March,2024,240.03,0.0,240.03,PEN,Anulado,Factura
13,P0144,13,1,4,March,2025,87.34,15.72,103.06,PEN,Procedió,Nota de crédito
14,P0101,14,3,3,May,2025,527.88,95.02,622.9,PEN,Procedió,Boleta
15,P0106,15,8,23,July,2025,647.92,116.63,764.55,PEN,Procedió,Boleta
16,P0027,5,4,4,July,2025,137.16,0.0,137.16,PEN,Anulado,Nota de crédito
17,P0120,6,8,7,July,2025,696.16,0.0,696.16,PEN,Anulado,Boleta
18,P0074,6,4,4,July,2025,765.16,137.73,902.89,PEN,Procedió,Factura
19,P0128,12,2,5,July,2024,40.12,7.22,47.34,PEN,Procedió,Nota de crédito
20,P0084,14,7,2,September,2025,1204.07,216.73,1420.8,PEN,Procedió,Nota de crédito
21,P0052,10,5,1,October,2024,83.2,14.98,98.18,PEN,Procedió,Boleta
22,P0055,1,7,5,November,2024,220.29,39.65,259.94,PEN,Procedió,Boleta
23,P0005,1,8,2,November,2024,1329.28,239.27,1568.55,PEN,Procedió,Factura
24,P0034,1,8,29,November,2025,1189.92,214.19,1404.11,PEN,Procedió,Factura
25,P0033,8,3,5,December,2024,279.3,50.27,329.57,PEN,Procedió,Boleta
26,P0007,1,8,25,December,2025,1447.52,260.55,1708.07,PEN,Procedió,Factura
27,P0060,11,2,22,December,2025,369.58,66.52,436.1,PEN,Procedió,Factura
28,P0005,7,7,12,December,2025,1163.12,0.0,1163.12,PEN,Anulado,Nota de crédito
29,P0043,11,10,21,December,2025,82.4,14.83,97.23,PEN,Procedió,Nota de crédito
30,P0146,4,10,17,December,2024,970.4,174.67,1145.07,PEN,Procedió,Factura
31,P0072,6,3,20,December,2025,112.02,20.16,132.18,PEN,Procedió,Boleta
32,P0057,12,3,3,December,2024,316.2,0.0,316.2,PEN,Anulado,Nota de crédito
33,P0055,12,3,8,January,2024,94.41,0.0,94.41,PEN,Anulado,Nota de crédito
34,P0062,4,10,25,February,2025,1131.5,203.67,1335.17,PEN,Procedió,Nota de crédito
35,P0060,8,4,22,February,2025,739.16,133.05,872.21,PEN,Procedió,Nota de crédito
36,P0131,5,7,14,February,2025,739.83,133.17,873.0,PEN,Procedió,Boleta
37,P0140,13,8,1,February,2025,219.12,39.44,258.56,PEN,Procedió,Boleta
38,P0066,4,10,13,February,2025,1396.7,251.41,1648.11,PEN,Procedió,Nota de crédito
39,P0095,3,7,20,February,2025,1023.61,0.0,1023.61,PEN,Anulado,Factura
40,P0094,1,3,19,March,2025,444.36,79.98,524.34,PEN,Procedió,Boleta
41,P0020,11,1,24,March,2025,5.57,0.0,5.57,PEN,Anulado,Factura
42,P0023,15,10,5,March,2025,509.3,91.67,600.97,PEN,Procedió,Nota de crédito
43,P0084,1,5,17,March,2024,860.05,154.81,1014.86,PEN,Procedió,Boleta
44,P0057,14,2,10,March,2025,210.8,37.94,248.74,PEN,Procedió,Boleta
45,P0063,11,2,7,March,2024,141.78,0.0,141.78,PEN,Anulado,Nota de crédito
46,P0091,5,3,15,March,2024,68.7,12.37,81.07,PEN,Procedió,Nota de crédito
47,P0097,6,5,7,March,2024,532.7,95.89,628.59,PEN,Procedió,Boleta
48,P0093,10,6,20,March,2024,425.16,76.53,501.69,PEN,Procedió,Nota de crédito
49,P0026,7,1,13,March,2025,84.62,15.23,99.85,PEN,Procedió,Nota de crédito
50,P0032,10,6,29,March,2024,703.74,0.0,703.74,PEN,Anulado,Boleta
51,P0004,11,4,3,March,2024,552.48,0.0,552.48,PEN,Anulado,Nota de crédito
52,P0070,9,5,13,March,2025,472.3,85.01,557.31,PEN,Procedió,Nota de crédito
53,P0060,1,1,12,March,2025,184.79,33.26,218.05,PEN,Procedió,Nota de crédito
54,P0104,5,3,1,April,2024,66.09,11.9,77.99,PEN,Procedió,Boleta
55,P0052,15,5,26,April,2025,83.2,14.98,98.18,PEN,Procedió,Boleta
56,P0149,1,2,4,May,2025,133.86,24.09,157.95,PEN,Procedió,Boleta
57,P0075,1,2,30,June,2025,391.34,70.44,461.78,PEN,Procedió,Factura
58,P0009,4,2,5,June,2024,129.62,23.33,152.95,PEN,Procedió,Factura
59,P0103,8,3,27,June,2024,87.78,0.0,87.78,PEN,Anulado,Boleta
60,P0111,13,1,2,June,2024,28.14,0.0,28.14,PEN,Anulado,Nota de crédito
61,P0036,10,4,1,June,2025,198.16,0.0,198.16,PEN,Anulado,Boleta
62,P0015,9,7,1,June,2025,57.96,10.43,68.39,PEN,Procedió,Nota de crédito
63,P0033,14,2,27,June,2025,186.2,33.52,219.72,PEN,Procedió,Boleta
64,P0029,3,2,9,June,2024,202.92,36.53,239.45,PEN,Procedió,Nota de crédito
65,P0056,2,9,20,July,2024,796.68,143.4,940.08,PEN,Procedió,Factura
66,P0066,8,3,31,July,2025,419.01,75.42,494.43,PEN,Procedió,Nota de crédito
67,P0081,8,7,16,July,2024,806.12,145.1,951.22,PEN,Procedió,Nota de crédito
68,P0080,2,1,6,July,2024,70.8,12.74,83.54,PEN,Procedió,Factura
69,P0133,13,4,14,August,2024,37.84,6.81,44.65,PEN,Procedió,Nota de crédito
70,P0070,12,1,23,August,2025,94.46,17.0,111.46,PEN,Procedió,Factura
71,P0025,7,6,16,August,2024,1194.06,214.93,1408.99,PEN,Procedió,Factura
72,P0068,13,3,16,August,2024,414.45,74.6,489.05,PEN,Procedió,Nota de crédito
73,P0011,1,10,16,August,2024,409.0,73.62,482.62,PEN,Procedió,Factura
74,P0099,2,6,21,August,2024,540.12,97.22,637.34,PEN,Procedió,Boleta
75,P0103,6,9,14,August,2024,263.34,47.4,310.74,PEN,Procedió,Nota de crédito
76,P0001,9,6,29,August,2025,966.3,173.93,1140.23,PEN,Procedió,Nota de crédito
77,P0111,10,3,6,August,2024,84.42,15.2,99.62,PEN,Procedió,Factura
78,P0086,1,5,28,August,2024,176.65,31.8,208.45,PEN,Procedió,Nota de crédito
79,P0115,11,9,15,August,2025,1403.82,0.0,1403.82,PEN,Anulado,Nota de crédito
80,P0019,15,9,22,August,2024,953.55,171.64,1125.19,PEN,Procedió,Boleta
81,P0049,5,5,8,August,2025,497.1,0.0,497.1,PEN,Anulado,Boleta
82,P0147,12,8,19,August,2024,150.72,27.13,177.85,PEN,Procedió,Factura
83,P0045,12,6,29,August,2024,578.4,104.11,682.51,PEN,Procedió,Boleta
84,P0071,13,8,26,August,2024,1266.48,227.97,1494.45,PEN,Procedió,Factura
85,P0143,14,5,3,August,2024,488.6,87.95,576.55,PEN,Procedió,Boleta
86,P0128,4,8,26,August,2025,160.48,0.0,160.48,PEN,Anulado,Nota de crédito
87,P0062,8,10,26,August,2025,1131.5,203.67,1335.17,PEN,Procedió,Boleta
88,P0137,3,9,16,August,2025,221.49,39.87,261.36,PEN,Procedió,Nota de crédito
89,P0083,10,6,7,September,2025,591.9,106.54,698.44,PEN,Procedió,Boleta
90,P0145,12,9,6,October,2024,183.51,33.03,216.54,PEN,Procedió,Factura
91,P0044,11,7,1,October,2024,1004.71,180.85,1185.56,PEN,Procedió,Boleta
92,P0120,1,3,24,October,2025,261.06,0.0,261.06,PEN,Anulado,Nota de crédito
93,P0075,2,7,6,October,2024,1369.69,246.54,1616.23,PEN,Procedió,Nota de crédito
94,P0131,10,7,23,October,2025,739.83,0.0,739.83,PEN,Anulado,Nota de crédito
95,P0013,2,8,21,October,2024,626.72,112.81,739.53,PEN,Procedió,Factura
96,P0113,12,5,23,October,2024,666.5,119.97,786.47,PEN,Procedió,Nota de crédito
97,P0147,1,7,27,October,2024,131.88,0.0,131.88,PEN,Anulado,Factura
98,P0053,8,6,1,October,2025,924.42,166.4,1090.82,PEN,Procedió,Nota de crédito
99,P0003,4,6,6,October,2024,1058.22,190.48,1248.7,PEN,Procedió,Factura
100,P0150,1,3,7,October,2024,346.47,62.36,408.83,PEN,Procedió,Boleta
101,P0003,15,10,24,October,2025,1763.7,317.47,2081.17,PEN,Procedió,Nota de crédito
102,P0062,10,7,13,October,2025,792.05,142.57,934.62,PEN,Procedió,Boleta
103,P0046,3,3,3,October,2024,81.0,14.58,95.58,PEN,Procedió,Nota de crédito
104,P0112,8,10,28,October,2025,850.3,0.0,850.3,PEN,Anulado,Factura
105,P0145,7,10,22,October,2025,203.9,36.7,240.6,PEN,Procedió,Boleta
106,P0131,12,4,31,October,2025,422.76,76.1,498.86,PEN,Procedió,Nota de crédito
107,P0108,4,7,9,November,2024,270.48,48.69,319.17,PEN,Procedió,Nota de crédito
108,P0071,8,8,14,November,2024,1266.48,227.97,1494.45,PEN,Procedió,Nota de crédito
109,P0102,5,2,5,November,2025,399.0,71.82,470.82,PEN,Procedió,Nota de crédito
110,P0136,6,8,18,November,2025,1230.08,221.41,1451.49,PEN,Procedió,Nota de crédito
111,P0033,4,6,15,November,2024,558.6,100.55,659.15,PEN,Procedió,Factura
112,P0038,10,4,4,November,2024,505.08,0.0,505.08,PEN,Anulado,Factura
113,P0039,12,3,6,February,2024,390.12,70.22,460.34,PEN,Procedió,Nota de crédito
114,P0078,1,5,1,February,2025,707.65,127.38,835.03,PEN,Procedió,Nota de crédito
115,P0026,5,4,16,February,2024,338.48,60.93,399.41,PEN,Procedió,Nota de crédito
116,P0007,7,3,20,February,2025,542.82,97.71,640.53,PEN,Procedió,Factura
117,P0126,6,6,2,February,2024,763.68,0.0,763.68,PEN,Anulado,Factura
118,P0114,15,7,7,February,2025,125.37,22.57,147.94,PEN,Procedió,Boleta
119,P0122,7,4,2,March,2024,24.8,4.46,29.26,PEN,Procedió,Boleta
120,P0127,10,7,31,March,2024,314.72,56.65,371.37,PEN,Procedió,Nota de crédito
121,P0021,5,9,3,March,2024,296.46,0.0,296.46,PEN,Anulado,Factura
122,P0122,4,10,30,March,2025,62.0,11.16,73.16,PEN,Procedió,Nota de crédito
123,P0012,8,7,28,March,2024,883.68,0.0,883.68,PEN,Anulado,Factura
124,P0021,11,4,30,March,2024,131.76,23.72,155.48,PEN,Procedió,Boleta
125,P0063,14,4,19,March,2024,283.56,51.04,334.6,PEN,Procedió,Factura
126,P0010,8,5,10,March,2024,97.9,0.0,97.9,PEN,Anulado,Nota de crédito
127,P0067,15,1,23,March,2025,30.45,5.48,35.93,PEN,Procedió,Nota de crédito
128,P0041,2,6,17,March,2024,539.1,97.04,636.14,PEN,Procedió,Nota de crédito
129,P0033,6,5,16,April,2025,465.5,83.79,549.29,PEN,Procedió,Nota de crédito
130,P0117,14,5,17,April,2025,451.3,81.23,532.53,PEN,Procedió,Nota de crédito
131,P0024,15,6,24,May,2025,945.18,170.13,1115.31,PEN,Procedió,Nota de crédito
132,P0064,13,2,4,May,2025,47.74,8.59,56.33,PEN,Procedió,Boleta
133,P0019,2,3,15,June,2024,317.85,57.21,375.06,PEN,Procedió,Boleta
134,P0075,10,4,1,June,2025,782.68,140.88,923.56,PEN,Procedió,Boleta
135,P0002,13,4,5,June,2025,454.08,0.0,454.08,PEN,Anulado,Boleta
136,P0057,8,4,16,June,2025,421.6,75.89,497.49,PEN,Procedió,Boleta
137,P0066,1,6,16,June,2024,838.02,0.0,838.02,PEN,Anulado,Nota de crédito
138,P0139,5,3,22,June,2024,191.07,34.39,225.46,PEN,Procedió,Boleta
139,P0080,5,5,5,June,2025,354.0,63.72,417.72,PEN,Procedió,Boleta
140,P0048,10,3,14,June,2025,217.02,0.0,217.02,PEN,Anulado,Boleta
141,P0100,13,7,15,June,2024,87.15,15.69,102.84,PEN,Procedió,Nota de crédito
142,P0056,5,7,21,July,2025,619.64,111.54,731.18,PEN,Procedió,Nota de crédito
143,P0020,7,2,14,August,2024,11.14,2.01,13.15,PEN,Procedió,Boleta
144,P0071,11,5,23,August,2024,791.55,142.48,934.03,PEN,Procedió,Boleta
145,P0026,9,1,5,September,2024,84.62,15.23,99.85,PEN,Procedió,Boleta
146,P0113,1,4,22,September,2024,533.2,95.98,629.18,PEN,Procedió,Factura
147,P0009,1,3,6,September,2025,194.43,35.0,229.43,PEN,Procedió,Factura
148,P0136,1,1,24,September,2025,153.76,27.68,181.44,PEN,Procedió,Nota de crédito
149,P0133,3,5,25,September,2024,47.3,8.51,55.81,PEN,Procedió,Nota de crédito
150,P0022,7,6,12,September,2025,155.34,0.0,155.34,PEN,Anulado,Boleta
151,P0049,11,3,19,September,2024,298.26,53.69,351.95,PEN,Procedió,Boleta
152,P0141,4,6,22,September,2025,95.28,0.0,95.28,PEN,Anulado,Boleta
153,P0056,3,10,14,September,2025,885.2,159.34,1044.54,PEN,Procedió,Factura
154,P0139,14,4,25,September,2024,254.76,45.86,300.62,PEN,Procedió,Boleta
155,P0075,8,8,15,October,2024,1565.36,281.76,1847.12,PEN,Procedió,Nota de crédito
156,P0144,12,7,15,October,2024,611.38,110.05,721.43,PEN,Procedió,Nota de crédito
157,P0033,1,3,28,November,2025,279.3,0.0,279.3,PEN,Anulado,Boleta
158,P0146,2,6,16,November,2024,582.24,0.0,582.24,PEN,Anulado,Boleta
159,P0137,5,9,23,November,2025,221.49,39.87,261.36,PEN,Procedió,Nota de crédito
160,P0027,5,2,25,November,2025,68.58,12.34,80.92,PEN,Procedió,Factura
161,P0109,2,4,10,November,2024,606.28,0.0,606.28,PEN,Anulado,Nota de crédito
162,P0003,12,10,3,November,2024,1763.7,317.47,2081.17,PEN,Procedió,Boleta
163,P0027,4,2,17,November,2025,68.58,12.34,80.92,PEN,Procedió,Nota de crédito
164,P0074,9,10,12,November,2025,1912.9,344.32,2257.22,PEN,Procedió,Nota de crédito
165,P0046,11,2,18,November,2025,54.0,9.72,63.72,PEN,Procedió,Nota de crédito
166,P0114,10,7,24,November,2025,125.37,0.0,125.37,PEN,Anulado,Boleta
167,P0086,7,7,12,November,2025,247.31,44.52,291.83,PEN,Procedió,Nota de crédito
168,P0083,4,8,21,December,2024,789.2,142.06,931.26,PEN,Procedió,Factura
169,P0150,4,5,31,December,2024,577.45,103.94,681.39,PEN,Procedió,Boleta
170,P0115,10,2,12,December,2024,311.96,56.15,368.11,PEN,Procedió,Nota de crédito
171,P0050,9,10,2,December,2024,507.2,0.0,507.2,PEN,Anulado,Nota de crédito
172,P0037,5,5,31,December,2024,438.8,0.0,438.8,PEN,Anulado,Boleta
173,P0005,3,10,30,December,2024,1661.6,299.09,1960.69,PEN,Procedió,Boleta
174,P0043,12,4,13,December,2025,32.96,5.93,38.89,PEN,Procedió,Boleta
175,P0063,7,1,23,December,2025,70.89,12.76,83.65,PEN,Procedió,Boleta
176,P0010,7,8,15,December,2025,156.64,28.2,184.84,PEN,Procedió,Boleta
177,P0033,2,6,21,December,2024,558.6,0.0,558.6,PEN,Anulado,Factura
178,P0093,5,5,6,December,2025,354.3,63.77,418.07,PEN,Procedió,Nota de crédito
179,P0108,9,10,21,August,2024,386.4,69.55,455.95,PEN,Procedió,Boleta
180,P0123,4,10,15,August,2024,290.5,52.29,342.79,PEN,Procedió,Boleta
181,P0022,2,6,15,August,2025,155.34,27.96,183.3,PEN,Procedió,Factura
182,P0041,10,8,18,August,2024,718.8,129.38,848.18,PEN,Procedió,Nota de crédito
183,P0138,13,2,4,August,2024,52.32,0.0,52.32,PEN,Anulado,Boleta
184,P0017,6,9,21,August,2024,835.83,0.0,835.83,PEN,Anulado,Factura
185,P0101,1,3,2,August,2025,527.88,95.02,622.9,PEN,Procedió,Nota de crédito
186,P0103,4,10,17,August,2025,292.6,52.67,345.27,PEN,Procedió,Boleta
187,P0105,1,2,25,August,2024,274.74,49.45,324.19,PEN,Procedió,Factura
188,P0118,14,9,31,August,2024,1385.55,0.0,1385.55,PEN,Anulado,Boleta
189,P0035,5,7,5,August,2025,960.54,172.9,1133.44,PEN,Procedió,Boleta
190,P0041,6,4,2,August,2025,359.4,0.0,359.4,PEN,Anulado,Boleta
191,P0108,4,5,9,August,2024,193.2,34.78,227.98,PEN,Procedió,Boleta
192,P0046,15,10,29,August,2024,270.0,48.6,318.6,PEN,Procedió,Nota de crédito
193,P0061,4,1,6,August,2025,106.15,0.0,106.15,PEN,Anulado,Factura
194,P0046,3,8,9,August,2025,216.0,38.88,254.88,PEN,Procedió,Nota de crédito
195,P0040,15,2,26,August,2025,395.4,0.0,395.4,PEN,Anulado,Factura
196,P0102,4,2,18,August,2025,399.0,71.82,470.82,PEN,Procedió,Factura
197,P0009,2,2,18,September,2024,129.62,23.33,152.95,PEN,Procedió,Nota de crédito
